775.691	KEY	/
775.891	KEY	l
776.065	KEY	o
776.158	KEY	g
776.860	KEY	RETURN
884.399	Moved	903	791
884.414	Moved	905	791
884.497	Moved	906	791
884.565	Moved	907	791
884.581	Moved	909	790
884.599	Moved	911	790
884.614	Moved	913	790
884.633	Moved	915	790
884.648	Moved	915	789
885.000	Moved	916	789
885.015	Moved	917	789
885.067	Moved	918	789
885.082	Moved	919	789
885.100	Moved	921	789
885.115	Moved	922	789
885.167	Moved	923	789
885.200	Moved	924	789
885.216	Moved	926	789
885.283	Moved	927	789
885.301	Moved	929	789
885.316	Moved	934	789
885.333	Moved	940	789
885.349	Moved	943	789
886.218	Moved	942	789
886.252	Moved	941	789
886.269	Moved	941	790
886.285	Moved	940	790
886.319	Moved	939	790
886.337	Moved	937	790
886.352	Moved	933	790
886.369	Moved	926	790
886.386	Moved	923	790
886.404	Moved	921	790
886.419	Moved	920	790
886.436	Moved	919	790
886.471	Moved	918	790
886.502	Moved	917	790
886.686	Moved	917	791
886.703	Moved	916	791
886.720	Moved	915	791
886.738	Moved	913	791
886.753	Moved	907	791
886.772	Moved	902	791
886.787	Moved	899	791
886.820	Moved	897	791
886.839	Moved	896	791
886.853	Moved	894	791
886.870	Moved	888	791
886.887	Moved	879	791
886.904	Moved	872	791
886.920	Moved	869	791
887.307	Moved	870	791
887.405	Moved	871	791
887.455	Moved	872	791
887.773	Moved	873	791
887.823	Moved	874	791
887.856	Moved	875	791
887.873	Moved	876	791
887.906	Moved	877	791
887.923	Moved	878	791
887.940	Moved	880	791
887.956	Moved	881	791
887.973	Moved	883	791
887.990	Moved	884	791
888.023	Moved	885	791
888.040	Moved	886	791
888.057	Moved	887	791
888.107	Moved	888	791
888.140	Moved	889	791
888.157	Moved	890	791
888.174	Moved	891	791
888.224	Moved	892	791
888.259	Moved	893	791
888.307	Moved	894	791
888.324	Moved	896	790
888.341	Moved	901	790
888.357	Moved	905	789
888.458	Moved	909	788
888.625	Moved	910	787
888.642	Moved	911	787
888.658	Moved	912	787
888.675	Moved	912	785
888.701	Pressed	Left
888.861	Released	Left
889.428	Moved	913	786
889.444	Moved	915	793
889.462	Moved	915	795
889.477	Moved	915	796
889.495	Moved	915	797
889.511	Moved	915	798
889.544	Moved	915	800
889.562	Moved	915	801
889.577	Moved	914	803
889.596	Moved	912	807
889.612	Moved	910	809
889.629	Moved	905	814
889.644	Moved	899	818
889.662	Moved	897	819
889.811	Moved	896	820
889.829	Moved	896	819
889.845	Moved	894	817
889.863	Moved	893	816
889.878	Moved	889	814
889.896	Moved	884	814
889.912	Moved	880	814
889.930	Moved	877	814
889.945	Moved	874	814
889.963	Moved	871	814
889.978	Moved	868	814
889.997	Moved	866	814
890.012	Moved	865	814
890.030	Moved	864	814
890.197	Moved	867	813
890.212	Moved	869	811
890.231	Moved	873	809
890.246	Moved	875	809
890.264	Moved	883	806
890.279	Moved	893	804
890.298	Moved	904	802
890.313	Moved	914	799
890.332	Moved	922	797
890.346	Moved	923	796
890.364	Moved	925	796
890.380	Moved	928	794
890.398	Moved	932	792
890.413	Moved	934	791
890.431	Moved	935	791
890.465	Moved	935	790
890.480	Moved	937	790
890.498	Moved	940	788
890.513	Moved	942	787
890.547	Moved	943	787
891.157	Pressed	Left
891.293	Released	Left
891.767	Moved	942	789
891.783	Moved	940	791
891.800	Moved	939	792
891.817	Moved	933	797
891.851	Moved	932	798
891.867	Moved	930	800
891.900	Moved	928	802
891.919	Moved	928	803
892.034	Moved	926	803
892.052	Moved	925	803
892.067	Moved	923	801
892.087	Moved	922	800
892.118	Moved	921	800
892.152	Moved	919	797
892.168	Moved	918	796
892.218	Moved	918	795
892.253	Moved	916	795
892.268	Moved	916	794
892.301	Moved	915	794
892.368	Moved	915	793
892.420	Moved	914	793
892.502	Moved	913	792
892.654	Moved	912	792
892.687	Moved	912	791
893.205	Pressed	Left
893.365	Released	Left
893.889	Moved	912	792
893.906	Moved	912	793
893.973	Moved	912	794
894.006	Moved	911	794
894.023	Moved	909	794
894.039	Moved	907	794
894.056	Moved	906	795
894.140	Moved	905	795
895.042	Moved	904	795
895.075	Moved	904	797
895.092	Moved	903	797
895.109	Moved	901	799
895.126	Moved	898	801
895.159	Moved	897	803
895.192	Moved	897	804
895.259	Moved	896	804
895.309	Moved	895	804
895.326	Moved	894	804
895.343	Moved	892	804
895.360	Moved	887	804
895.376	Moved	878	804
895.393	Moved	868	804
895.410	Moved	863	804
895.426	Moved	859	804
895.443	Moved	856	804
895.460	Moved	855	804
895.527	Moved	854	804
895.543	Moved	853	805
895.562	Moved	851	805
895.577	Moved	848	807
895.594	Moved	846	807
895.610	Moved	845	807
895.627	Moved	843	809
895.660	Moved	841	809
895.894	Moved	840	809
898.285	Moved	840	808
898.320	Moved	841	808
898.334	Moved	841	807
898.352	Moved	841	806
898.368	Moved	839	802
898.386	Moved	836	796
898.401	Moved	834	791
898.418	Moved	833	787
898.434	Moved	831	783
898.454	Moved	830	779
898.468	Moved	826	774
898.485	Moved	822	766
898.501	Moved	814	756
898.520	Moved	805	746
898.535	Moved	799	741
898.553	Moved	796	740
898.568	Moved	795	739
898.587	Moved	795	738
898.602	Moved	794	738
898.886	Moved	794	737
898.921	Moved	794	736
898.936	Moved	795	735
900.172	Moved	797	734
900.189	Moved	803	734
900.206	Moved	816	734
900.223	Moved	832	736
900.239	Moved	846	738
900.256	Moved	862	743
900.273	Moved	878	747
900.289	Moved	893	754
900.306	Moved	907	758
900.323	Moved	920	761
900.340	Moved	931	765
900.356	Moved	941	769
900.373	Moved	951	773
900.390	Moved	962	779
900.406	Moved	966	781
900.423	Moved	968	783
900.440	Moved	969	783
900.456	Moved	969	785
900.557	Moved	967	786
900.574	Moved	956	787
900.591	Moved	945	787
900.607	Moved	939	787
900.690	Moved	937	787
900.707	Moved	935	787
900.724	Moved	930	787
900.741	Moved	927	786
900.757	Moved	925	786
900.874	Moved	923	786
901.058	Moved	922	786
901.075	Moved	920	786
901.092	Moved	918	786
901.108	Moved	915	787
902.395	KEY	d
903.832	Moved	911	788
903.884	Moved	910	788
904.065	KEY	a
906.907	Moved	908	787
906.924	Moved	906	785
906.957	Moved	904	784
907.228	KEY	s
907.425	Moved	905	782
907.442	Moved	907	780
907.459	Moved	908	779
907.475	Moved	910	774
907.492	Moved	913	768
907.509	Moved	917	760
907.526	Moved	922	750
907.542	Moved	926	740
907.559	Moved	929	732
907.576	Moved	932	725
907.592	Moved	934	720
907.609	Moved	936	717
907.626	Moved	940	712
907.642	Moved	950	708
907.659	Moved	967	705
907.676	Moved	984	702
907.693	Moved	999	700
907.709	Moved	1020	697
907.726	Moved	1048	697
907.743	Moved	1072	697
907.760	Moved	1085	697
907.776	Moved	1089	697
907.927	Moved	1090	698
908.078	Moved	1090	699
908.112	Moved	1089	699
908.160	Moved	1088	699
908.245	Moved	1087	699
908.361	Moved	1086	699
908.428	KEY	w
908.428	Moved	1086	700
908.513	Moved	1085	700
908.681	Moved	1084	700
908.730	Moved	1084	701
908.762	Moved	1083	701
908.958	Pressed	Left
909.081	Moved	1082	701
909.096	Moved	1080	701
909.116	Moved	799	449
909.131	Moved	799	449
909.148	Moved	799	449
909.163	Moved	799	449
909.182	Moved	799	449
909.197	Moved	799	449
909.215	Moved	799	449
909.230	Moved	799	449
909.249	Moved	799	449
909.264	Moved	799	449
909.281	Moved	799	449
909.297	Moved	799	449
909.330	Moved	799	449
909.330	Moved	799	449
909.348	Moved	799	449
909.364	Moved	799	449
909.381	Moved	799	449
909.397	Moved	799	449
909.414	Moved	799	449
909.431	Moved	799	449
909.449	Moved	799	449
909.468	Moved	799	449
909.481	Moved	799	449
909.497	Moved	799	449
909.518	Moved	799	449
909.531	Moved	799	449
909.549	Moved	799	449
909.883	Moved	799	449
909.899	Moved	799	449
909.917	Moved	799	449
909.932	Moved	799	449
909.949	Moved	799	449
909.965	Moved	799	449
909.983	Moved	799	449
909.999	Moved	799	449
910.016	Moved	799	449
910.032	Moved	799	449
910.065	Moved	799	449
910.066	Moved	799	449
910.084	Moved	799	449
910.099	Moved	799	449
910.116	Moved	799	449
910.132	Moved	799	449
910.150	Moved	799	449
910.166	Moved	799	449
